2026-05-26 15:09:59,306 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:59,306 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:59,397 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:59,753 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:09:59,899 - INFO - Scan success | 扫描成功: https://login.csplit.fr -> https://login.csplit.fr/
2026-05-26 15:09:59,900 - INFO - Scan success | 扫描成功: https://login.credit-moderne.com -> https://login.credit-moderne.com/
2026-05-26 15:10:00,161 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:00,677 - INFO - Scan success | 扫描成功: https://login.ppd.cafineo.fr -> https://login.ppd.cafineo.fr/
2026-05-26 15:10:00,754 - INFO - Scan success | 扫描成功: https://login.cofinoga.fr -> https://login.cofinoga.fr/
2026-05-26 15:10:00,774 - INFO - Scan success | 扫描成功: https://login.ppd.credit-moderne.com -> https://login.ppd.credit-moderne.com/
2026-05-26 15:10:00,849 - INFO - Scan success | 扫描成功: https://login.ppd.cofinoga.fr -> https://login.ppd.cofinoga.fr/
2026-05-26 15:10:01,276 - INFO - Scan success | 扫描成功: https://login.ppd.cetelem.fr -> https://login.ppd.cetelem.fr/
2026-05-26 15:10:01,785 - INFO - Scan success | 扫描成功: https://login.ppd.csplit.fr -> https://login.ppd.csplit.fr/
2026-05-26 15:10:02,801 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:02,860 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:04,082 - INFO - Scan success | 扫描成功: https://login.staging.cafineo.fr -> https://login.staging.cafineo.fr/
2026-05-26 15:10:04,141 - INFO - Scan success | 扫描成功: https://login.staging.cetelem.fr -> https://login.staging.cetelem.fr/
2026-05-26 15:10:06,502 - WARNING - Scan failed | 扫描失败: https://cetelem.pl, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://cetelem.pl/
Call log:
  - navigating to "https://cetelem.pl/", waiting until "networkidle"
, retry 1
2026-05-26 15:10:07,492 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:10:07,501 - INFO - Auth/certificate required | 要求账号密码/证书: https://cpay.choisirmoncode.fr
2026-05-26 15:10:07,559 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:10:07,572 - INFO - Auth/certificate required | 要求账号密码/证书: https://choisirmoncode.fr
2026-05-26 15:10:07,916 - INFO - Scan success | 扫描成功: https://cpay.choisirmoncode.fr -> https://cpay.choisirmoncode.fr/camatras/index.do?codeBanque=18029&codeProduit=04
2026-05-26 15:10:08,171 - INFO - Scan success | 扫描成功: https://choisirmoncode.fr -> https://cpay.choisirmoncode.fr/camatras/index.do?codeBanque=18029&codeProduit=04
2026-05-26 15:10:09,279 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:09,386 - WARNING - Scan failed | 扫描失败: https://cetelem.pl, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://cetelem.pl/
Call log:
  - navigating to "https://cetelem.pl/", waiting until "networkidle"
, retry 2
2026-05-26 15:10:09,654 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:09,759 - WARNING - Scan failed | 扫描失败: https://domofinance.akio.cloud, error: Page.goto: net::ERR_CONNECTION_CLOSED at https://domofinance.akio.cloud/
Call log:
  - navigating to "https://domofinance.akio.cloud/", waiting until "networkidle"
, retry 1
2026-05-26 15:10:10,576 - INFO - Scan success | 扫描成功: https://login.staging.credit-moderne.com -> https://login.staging.credit-moderne.com/
2026-05-26 15:10:10,662 - INFO - Clicked cookie consent button | 点击Cookie同意按钮: button:has-text('ok'), a:has-text('ok')
2026-05-26 15:10:11,056 - INFO - Scan success | 扫描成功: https://login.staging.cofinoga.fr -> https://login.staging.cofinoga.fr/
2026-05-26 15:10:11,582 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:10:11,876 - INFO - Scan success | 扫描成功: https://domofinance-api.akio.cloud -> https://domofinance-api.akio.cloud/aip/doc/
2026-05-26 15:10:12,004 - INFO - Scan success | 扫描成功: https://login.staging.csplit.fr -> https://login.staging.csplit.fr/
2026-05-26 15:10:12,493 - WARNING - Scan failed | 扫描失败: https://domofinance.akio.cloud, error: Page.goto: net::ERR_CONNECTION_CLOSED at https://domofinance.akio.cloud/
Call log:
  - navigating to "https://domofinance.akio.cloud/", waiting until "networkidle"
, retry 2
2026-05-26 15:10:12,682 - WARNING - Scan failed | 扫描失败: https://domofinance-rct.akio.cloud, error: Page.goto: net::ERR_CONNECTION_CLOSED at https://domofinance-rct.akio.cloud/
Call log:
  - navigating to "https://domofinance-rct.akio.cloud/", waiting until "networkidle"
, retry 1
2026-05-26 15:10:13,636 - WARNING - Scan failed | 扫描失败: https://cetelem.pl, error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://cetelem.pl/
Call log:
  - navigating to "https://cetelem.pl/", waiting until "networkidle"
, retry 3
2026-05-26 15:10:14,124 - WARNING - Scan failed | 扫描失败: https://domofinance.akio.cloud, error: Page.goto: net::ERR_CONNECTION_CLOSED at https://domofinance.akio.cloud/
Call log:
  - navigating to "https://domofinance.akio.cloud/", waiting until "networkidle"
, retry 3
2026-05-26 15:10:14,327 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:10:14,419 - INFO - No cookie consent popup found | 未找到Cookie同意弹窗
2026-05-26 15:10:14,425 - INFO - Auth/certificate required | 要求账号密码/证书: https://elearning.domofinance.com
2026-05-26 15:10:19,627 - INFO - Clicked element | 点击元素: Selector: button:has-text('se connecter'), a:has-text('se connecter'), div[role='button']:has-text('se connecter'), Keyword: se connecter for URL: https://app-web.tilia-aidants.fr
